Comment,ReplyCount,LikeCount,PublishedAt
"amazing video Maria! you totally made my day ( ^_- ), cheers Desiree",1,2,08/02/2017
Wow. ...wonderful,1,1,08/02/2017
Wow. This looks almost exactly like Urunao on my Pacific island of Guam. Awesome. I will email you a picture.,1,1,08/02/2017
Maria you have such a beautiful talent. Thank you,1,1,08/01/2017
I love to watch you work.  I'm inspired!,1,1,08/01/2017
"Good afternoon Maria! Very nice,peaceful scene. Great tree detail, ocean colour reminds me of Thailand. Thank you and take care",1,0,08/01/2017
Your very welcome. Sophie,1,1,08/01/2017
Wow!,1,1,08/01/2017
"Thank you for the sand color, very useful for me! And for all your art, thank you!",1,1,08/01/2017
Superb!!!,1,1,08/01/2017
"I wish I could be there in that painting, it's flawless",1,1,08/01/2017
Still looking for that bottle and tip LOL,0,0,08/01/2017
So Beautiful!!!!,1,3,08/01/2017
Your skill level is incredible! Wonderful work!,1,2,08/01/2017
Wow.   Just beautiful! Love the colors and so realistic.,1,1,08/01/2017
Nice,1,0,08/01/2017
Interesante tecnica para usar el  masking fluid...la botellita es una muy buena idea...cuanto se aprende con sus videos s un placer verlos. Donde se puede comprare sta botellita.Gracias.,1,1,08/01/2017
"Wonderful painting, Maria!  I love the colors you used here, but I don't have any Holbein watercolors.  Do you think I could substitute witt Daniel Smith?  I've only been painting watercolor for a couple of months and just learning pigments, and everything else.  Thanks for sharing your talent with us, I've learned so much!",3,1,08/01/2017
LOVE IT!,1,3,08/01/2017
Very beautyful,2,4,08/01/2017
beautiful Maria feel like going for holiday trip on this beautiful beach,1,2,08/01/2017
Lovely beach scene.  I particularly like the way you painted the palm trees.  May I ask what brand of masking fluid you use?  I so enjoy your painting.,1,1,08/01/2017
Beautiful!  I like the idea of the masking fluid in the fine line bottle. Does it gum up at all?,4,5,08/01/2017
"Ah, a day at the beach, what would we do without a fan....brush.  Very nice Maria. Have a great day.",1,0,08/01/2017
Beautiful painting Maria. tfs,1,1,08/01/2017
wow!! looks exactly where I live!! :D very beautiful painting!!,1,1,08/01/2017
Muy bueno María....evocador del tiempo veraniego....,3,2,08/01/2017
"wow,Maria you made my tongue unable to say  anything because it so good that I am confused . loooooovvvveeee yooouuuuuuuu ( heart)",1,1,08/01/2017
"i love all your paintings. it is beautiful , pretty , nice",0,0,10/29/2020
@Maria Raczynska  I'm 72 and recently started to paint with watercolors .  The last time I painted was with acrylics 52 years ago.,0,0,07/24/2020
From,0,0,09/17/2019
thank you,0,0,06/22/2019
thank you!!,0,0,04/07/2019
"Thank you. BTW, I love your videos.",0,0,04/07/2019
"Hi Gary, you can find it under my art supplies at www.mariamorjane.com it's called: FINE LINE APPLICATOR for masking fluid, you can get it via amazon on dickblick.com",0,0,04/06/2019
thank you so much,0,0,03/18/2019
thank you,0,0,03/16/2019
you can get it at dickblick.com or amazon.com here's my affiliate link: https://www.amazon.com/gp/product/B00756OF7Q/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00756OF7Q&linkCode=as2&tag=mariamorjane-20&linkId=64f972bb31b6ffe27cb865b5e95d08f5,0,0,11/05/2018
thank you,0,0,10/30/2018
"Hi, if you don't have masking fluid I would just omit the areas and not use anything else :) masking fluid comes off easily... glue doesn't..",0,0,07/04/2018
Thank you!,0,0,06/11/2018
Ok,0,0,05/29/2018
"Just try to go around it, preserve white :)",0,0,05/29/2018
Eso es perfecto entonces :) Diviértete pintando ~!,0,0,04/30/2018
Quise d3sir que lo mezclare  así azul y rojo,0,0,04/30/2018
"Hola, Índigo es básicamente un color azul y rojo, puedes intentar mezclar estos también :)",0,1,04/30/2018
"It's a drawing gum, it's a rubber substance that once it's dry, you can remove it of your paper. It's to preserve white areas on your paper",0,0,03/25/2018
Great :) Have fun painting Phil!,0,1,03/19/2018
Maria Raczynska great idea regarding the glass/ towel! Thanks so much.,0,1,03/06/2018
thank you Delyn :),0,0,02/19/2018
"Yes Soma I’m American, you can use a different brush it doesn’t have to be a fan one :)",0,0,01/17/2018
May I use anything else without fan brush?,0,0,01/17/2018
Are u american?,0,0,01/17/2018
What is different between flat brush and angular brush,0,1,01/16/2018
U r a very good artist. Where did u live,0,1,01/16/2018
How many cost is art masking fluid for water colour,0,0,01/16/2018
Thank u,0,1,01/16/2018
"Hi Soma, I have only seen Arches Hot Pressed 300lb in 22X30 sheets and they run for about $15 a sheet. I cut these into smaller sheets and that’s why I usually have 9X12 etc :)",0,0,01/16/2018
your very welcome :),0,0,01/10/2018
Great! Thank you so much for your reply,0,1,01/10/2018
"Hi Merri :) thank you so much, I use Masking Fluid by Winsor and Newton. I have recently tried Sennelier one and it's a complete disaster. From a bottle (with nozzle) that doesn't work, I asked others that had tried it, everyone complained about the same thing, then it's hard to remove it from a paper.. I just used it again yesterday and almost ruined my painting. Anyways WN one is the way to go.",0,0,01/10/2018
Thank you Thelma :) and that's great! you will have a reference photo this way. So many  beaches look the same all over the world lol this was an inspiration from my travels to Thailand few years back..,0,0,01/07/2018
Your very welcome Asha :) Happy New Year!,0,0,01/01/2018
Thank you Joynal :),0,0,12/26/2017
"Dziekuje ci bardzo, jak milo przeczytac twoj komentarz :)",0,0,12/14/2017
"To ja dziekuje :) bo pokazujesz mi , ze akwarela w swej cudownej delikatnosci ma niezwykly , bogaty wymiar , którego kiedys nie docenialam To kraina, która chce poznac dzieki czarowi Twego przekazu. Piekno zawarte w sztuce jest dla mnie muzyka, lecz trzeba tworzyc  sercem by te cudowne dzwieki wydobyc i Ty Mario tworzysz sercem  z milosci do piekna i harmonii.",0,1,12/14/2017
Dziekuje ci slicznie Asiu :),0,1,12/14/2017
Thank you very much Beatriz :),0,0,12/09/2017
hi Anuja :) wow I feel so honored to get this credit of inspiring you :) thank you so much. And that's wonderful! you can share your paintings with me via instagram :)) @maria_morjane xx,0,0,11/27/2017
"Hi, I will add it to my list :)",0,0,11/23/2017
aww thank you Aimee ;)) very happy you enjoyed this one!,0,1,11/02/2017
awesome :) and your very welcome :),0,0,10/31/2017
Thank you so much :),0,0,10/29/2017
Thank you Smita :),0,0,10/28/2017
You are Welcome,0,1,10/27/2017
Thank you Ian :),0,0,10/24/2017
aww I'm so happy Nadine :) that is sooo awesome!!! very happy for you! congratulations ;),0,0,09/17/2017
Actually from BD,0,0,09/05/2017
"Thank you Nemo, I'm from the US, how about you?",0,0,09/05/2017
"Maria Raczynska so much thankful to you.I have a question,which country r u from???",0,1,09/05/2017
"aww thank you so much, that's so kind of you :) xx",0,0,09/03/2017
"Hi, yes have fun :)",0,0,08/18/2017
#NAME?,0,0,08/18/2017
"Hi, about 1 hour :)",0,0,08/18/2017
Maria Raczynska  welcome..,0,1,08/15/2017
"Hi Riane, yes I do :) www.mariamorjane.com",0,0,08/12/2017
thank you so much Ralph :),0,0,08/08/2017
Awesome Michely! Have fun painting :) thank you!!,0,0,08/05/2017
"Hi, you use art masking fluid to preserve white areas, areas on a paper you want to keep white until you are ready to paint those areas, this way you can just focus on painting the background without worrying about your paint going over some other areas that you want to focus on later. thank you",0,0,08/04/2017
thank you Momchil :),0,0,08/03/2017
"thank you so much and yes :) plenty snow scenes!! if you go directly to my YT channel www.youtube.com/mariamorjane you will find ski lifts, Snowtown etc :) these are my old videos from Dec/Jan xx",0,0,08/03/2017
Thank you Tammy :),0,0,08/03/2017
"Hi Linda, yes they have an online store but I just checked and couldn't find it online.. ahhh I'm going to go to the art store soon and ask about it again maybe they there's different name to it...",0,0,08/03/2017
thank you MaryAnne :),0,0,08/03/2017
Maria Raczynska Thanks so much for your reply. I will definitely try the Arches paper.,0,0,08/10/2017
"Hi Kathy, thank you so much! a lot of times I do use a photo as reference, this is the most common beach scene I can think of. Paper in watercolors is your foundation... I use the same art masking fluid for watercolors, by Winsor and Newton and never have this problem when painting on Arches papers.
But when I used a different watercolor paper I did run into these type of problems, like stained paper or paper getting ripped when I was removing art masking fluid. So I think it's your paper. I like Arches best. The quality is amazing. Never had once any issues. Thank you!",0,0,08/03/2017
"Hi, yes :) you can paint any painting with any medium you wish :)",0,1,08/02/2017
Sona luvs random stuffs  lol,0,0,10/24/2017
thank you Antonietta :),0,0,08/02/2017
thank you Ernestina :) that's cool!,0,0,08/02/2017
"Hi, thank you so much, I actually thought of Thailand when I painted this beach :)",0,0,08/02/2017
thank you!,0,0,08/02/2017
your very welcome :) thank you for watching!,0,0,08/02/2017
thank you Neha ;),0,0,08/02/2017
thank you so much!,0,0,08/02/2017
Thank you Borek :),0,0,08/01/2017
"Hola, muchas gracias por su amable mensaje :) He comprado esta botella para el arte de enmascarar líquido para acuarelas en una tienda de arte regular, es sólo una botella con una punta de la aguja, por lo que el fluido de arte de enmascaramiento sale a través de ese pequeño agujero. gracias",0,0,08/01/2017
"Maria Raczynska Thanks for replying, Maria!  I started with a pad of Strathmore and by my third ""painting "" I almost gave up.  I watched Steve Mitchell's channel The Mind Of Watercolor and found Arches paper.  It is a true joy to paint on quality paper!",0,2,08/03/2017
thank you Ana :),0,2,08/01/2017
I tried the art masking liquid and the paper was breaking down and flaking very quickly after I took it off. Any advice? I’m using strathmore 300 series paper.,0,0,02/08/2018
Maria Raczynska  Thank You!  What about in the bottle... Does it gum up the tip of the bottle at all?,0,1,08/01/2017
"thank you Shannon :) I didn't feel like it gummed up.. once it's dry, it's easy to paint over it (without worrying about picking it up with your brush) and very easy to remove it. It's very helpful if you want to preserve smaller white areas :)",0,1,08/01/2017
"Te invito a Baiona, tenemos hermosas playas....y las Islas Cíes patrimonio de la naturaleza...",0,1,08/02/2017
thank you Roshni :),0,2,08/01/2017
thank you so much Dhruvi ;),0,0,08/01/2017
thank you :-),0,0,08/01/2017
